timestamp,equipment_id,temperature_celsius,vibration_hz,pressure_psi
2026-05-30 20:05:36,BLR-005,83.47,38.82,2877.15
2026-05-30 21:05:36,EXC-001,85.76,20.97,3161.52
2026-05-30 21:05:36,EXC-002,71.86,32.81,2912.5
2026-05-30 21:05:36,EXC-003,,32.64,2755.97
2026-05-30 21:05:36,EXC-004,,34.8,2694.3
2026-05-30 21:05:36,EXC-005,72.77,41.61,3122.06
2026-05-30 21:05:36,BLR-001,94.23,40.88,2808.27
2026-05-30 21:05:36,BLR-002,74.87,28.5,2862.53
2026-05-30 21:05:36,BLR-003,,23.34,3183.13
2026-05-30 21:05:36,BLR-004,78.52,35.49,2998.67
2026-05-30 21:05:36,BLR-005,82.9,20.83,3012.38
2026-05-30 22:05:36,EXC-001,103.45,41.74,2669.63
2026-05-30 22:05:36,EXC-002,97.69,12.05,2872.15
2026-05-30 22:05:36,EXC-003,102.75,16.72,2540.94
2026-05-30 22:05:36,EXC-004,76.36,11.42,2745.68
2026-05-30 22:05:36,EXC-005,96.07,34.89,3176.06
2026-05-30 22:05:36,BLR-001,,30.78,3078.14
2026-05-30 22:05:36,BLR-002,91.46,42.64,2857.1
2026-05-30 22:05:36,BLR-003,96.96,41.58,2832.32
2026-05-30 22:05:36,BLR-004,90.05,23.02,3073.82
2026-05-30 22:05:36,BLR-005,80.51,34.08,2993.03
2026-05-30 23:05:36,EXC-001,83.33,13.67,3138.19
2026-05-30 23:05:36,EXC-002,88.77,17.16,3095.49
2026-05-30 23:05:36,EXC-003,98.56,38.57,3183.6
2026-05-30 23:05:36,EXC-004,81.3,20.56,3042.34
2026-05-30 23:05:36,EXC-005,95.74,25.99,2806.96
2026-05-30 23:05:36,BLR-001,102.04,16.16,3162.17
2026-05-30 23:05:36,BLR-002,102.07,34.85,2655.95
2026-05-30 23:05:36,BLR-003,86.2,30.74,3149.87
2026-05-30 23:05:36,BLR-004,102.4,16.31,3081.99
2026-05-30 23:05:36,BLR-005,91.69,18.24,2565.1
2026-05-31 00:05:36,EXC-001,81.07,14.99,2577.38
2026-05-31 00:05:36,EXC-002,76.59,23.31,3069.3
2026-05-31 00:05:36,EXC-003,89.47,42.76,2602.15
2026-05-31 00:05:36,EXC-004,94.41,19.27,2957.52
2026-05-31 00:05:36,EXC-005,81.85,22.1,3015.79
2026-05-31 00:05:36,BLR-001,82.85,21.91,2700.02
2026-05-31 00:05:36,BLR-002,104.11,44.91,3101.95
2026-05-31 00:05:36,BLR-003,101.7,21.71,2842.02
2026-05-31 00:05:36,BLR-004,74.05,19.45,3108.89
2026-05-31 00:05:36,BLR-005,,11.07,3106.53
2026-05-31 01:05:36,EXC-001,92.95,32.02,2563.09
2026-05-31 01:05:36,EXC-002,95.21,19.27,2630.27
2026-05-31 01:05:36,EXC-003,,11.05,2609.6
2026-05-31 01:05:36,EXC-004,70.31,14.04,2671.73
2026-05-31 01:05:36,EXC-005,97.92,30.23,2759.48
2026-05-31 01:05:36,BLR-001,84.18,35.7,2623.72
2026-05-31 01:05:36,BLR-002,73.99,10.82,2798.02
2026-05-31 01:05:36,BLR-003,92.29,16.22,2875.06
2026-05-31 01:05:36,BLR-004,73.72,20.28,2838.67
2026-05-31 01:05:36,BLR-005,83.9,17.93,2548.03
2026-05-31 02:05:36,EXC-001,74.97,39.04,2786.43
2026-05-31 02:05:36,EXC-002,73.98,31.9,2650.21
2026-05-31 02:05:36,EXC-003,90.98,29.12,2652.63
2026-05-31 02:05:36,EXC-004,90.03,11.11,2648.44
2026-05-31 02:05:36,EXC-005,75.48,37.81,3128.74
2026-05-31 02:05:36,BLR-001,76.94,13.36,2592.94
2026-05-31 02:05:36,BLR-002,101.05,39.82,2559.43
2026-05-31 02:05:36,BLR-003,72.73,28.74,3115.99
2026-05-31 02:05:36,BLR-004,92.31,30.28,2815.72
2026-05-31 02:05:36,BLR-005,100.53,29.18,3010.77
2026-05-31 03:05:36,EXC-001,79.72,34.18,2943.55
2026-05-31 03:05:36,EXC-002,80.74,20.76,2707.04
2026-05-31 03:05:36,EXC-003,,39.57,2770.67
2026-05-31 03:05:36,EXC-004,90.56,26.96,3113.72
2026-05-31 03:05:36,EXC-005,76.09,12.05,3043.12
2026-05-31 03:05:36,BLR-001,91.43,12.96,2950.33
2026-05-31 03:05:36,BLR-002,77.14,37.75,2520.62
2026-05-31 03:05:36,BLR-003,77.42,11.63,2846.75
2026-05-31 03:05:36,BLR-004,79.91,13.95,3187.64
2026-05-31 03:05:36,BLR-005,,15.47,2545.11
2026-05-31 04:05:36,EXC-001,97.51,42.83,2902.98
2026-05-31 04:05:36,EXC-002,84.76,26.18,3069.02
2026-05-31 04:05:36,EXC-003,,43.75,2608.96
2026-05-31 04:05:36,EXC-004,101.24,44.54,2575.76
2026-05-31 04:05:36,EXC-005,71.57,21.24,3045.26
2026-05-31 04:05:36,BLR-001,97.76,30.18,2653.3
2026-05-31 04:05:36,BLR-002,85.73,12.97,2820.11
2026-05-31 04:05:36,BLR-003,102.31,36.09,2751.88
2026-05-31 04:05:36,BLR-004,102.77,11.29,2544.2
2026-05-31 04:05:36,BLR-005,79.47,35.62,2872.5
2026-05-31 05:05:36,EXC-001,82.24,44.79,2608.57
2026-05-31 05:05:36,EXC-002,101.14,28.45,2576.39
2026-05-31 05:05:36,EXC-003,78.57,25.77,2590.67
2026-05-31 05:05:36,EXC-004,75.39,32.58,2943.77
2026-05-31 05:05:36,EXC-005,83.03,10.43,2776.17
2026-05-31 05:05:36,BLR-001,71.86,42.23,2786.5
2026-05-31 05:05:36,BLR-002,76.61,25.5,2775.42
2026-05-31 05:05:36,BLR-003,72.77,27.46,2565.43
2026-05-31 05:05:36,BLR-004,92.81,31.1,2686.94
2026-05-31 05:05:36,BLR-005,98.12,25.03,2657.52
2026-05-31 06:05:36,EXC-001,78.9,37.03,3081.05
2026-05-31 06:05:36,EXC-002,94.94,21.2,3020.77
2026-05-31 06:05:36,EXC-003,94.28,30.43,2848.04
2026-05-31 06:05:36,EXC-004,70.45,14.21,2504.24
2026-05-31 06:05:36,EXC-005,100.21,40.34,2540.05
2026-05-31 06:05:36,BLR-001,99.4,31.57,3016.41
2026-05-31 06:05:36,BLR-002,77.39,44.58,2738.74
2026-05-31 06:05:36,BLR-003,83.95,13.6,2639.59
2026-05-31 06:05:36,BLR-004,70.79,25.45,2670.93
2026-05-31 06:05:36,BLR-005,86.73,22.76,3007.21
2026-05-31 07:05:36,EXC-001,89.25,18.4,3115.33
2026-05-31 07:05:36,EXC-002,72.82,39.42,3090.29
2026-05-31 07:05:36,EXC-003,98.68,18.62,3044.69
2026-05-31 07:05:36,EXC-004,76.49,30.29,3050.36
2026-05-31 07:05:36,EXC-005,88.24,39.85,2639.6
2026-05-31 07:05:36,BLR-001,73.86,13.53,2835.81
2026-05-31 07:05:36,BLR-002,88.91,11.61,3096.23
2026-05-31 07:05:36,BLR-003,104.15,12.78,3085.66
2026-05-31 07:05:36,BLR-004,102.53,31.51,2613.84
2026-05-31 07:05:36,BLR-005,73.88,39.21,3015.76
2026-05-31 08:05:36,EXC-001,,12.22,2620.79
2026-05-31 08:05:36,EXC-002,82.98,30.17,2678.17
2026-05-31 08:05:36,EXC-003,98.91,15.29,2710.97
2026-05-31 08:05:36,EXC-004,103.69,28.66,2839.63
2026-05-31 08:05:36,EXC-005,71.29,42.81,2930.1
2026-05-31 08:05:36,BLR-001,,16.58,2565.33
2026-05-31 08:05:36,BLR-002,100.82,29.35,2908.15
2026-05-31 08:05:36,BLR-003,75.59,26.38,2605.72
2026-05-31 08:05:36,BLR-004,97.78,34.03,2954.11
2026-05-31 08:05:36,BLR-005,90.64,42.34,3085.62
2026-05-31 09:05:36,EXC-001,98.4,34.47,3171.97
2026-05-31 09:05:36,EXC-002,96.04,26.95,4662.73836800402
2026-05-31 09:05:36,EXC-003,80.69,43.45,2588.19
2026-05-31 09:05:36,EXC-004,100.61,44.83,2546.5
2026-05-31 09:05:36,EXC-005,85.18,27.98,3103.66
2026-05-31 09:05:36,BLR-001,97.59,38.5,2830.17
2026-05-31 09:05:36,BLR-002,91.71,41.53,2882.5
2026-05-31 09:05:36,BLR-003,101.47,41.09,2688.2
2026-05-31 09:05:36,BLR-004,73.67,24.96,2694.93
2026-05-31 09:05:36,BLR-005,71.69,17.37,3165.16
2026-05-31 10:05:36,EXC-001,87.11,33.88,3042.13
2026-05-31 10:05:36,EXC-002,76.6,32.46,3066.64
2026-05-31 10:05:36,EXC-003,104.81,21.64,2656.51
2026-05-31 10:05:36,EXC-004,89.8,16.74,2721.6
2026-05-31 10:05:36,EXC-005,103.63,34.19,2989.11
2026-05-31 10:05:36,BLR-001,76.57,10.71,2881.57
2026-05-31 10:05:36,BLR-002,88.76,32.21,2900.87
2026-05-31 10:05:36,BLR-003,74.16,20.02,3137.97
2026-05-31 10:05:36,BLR-004,98.61,42.2,2753.89
2026-05-31 10:05:36,BLR-005,91.34,32.51,2605.13
2026-05-31 11:05:36,EXC-001,77.38,31.23,2874.29
2026-05-31 11:05:36,EXC-002,98.78,32.81,2874.42
2026-05-31 11:05:36,EXC-003,78.87,24.21,4520.311428819286
2026-05-31 11:05:36,EXC-004,98.69,18.36,2726.75
2026-05-31 11:05:36,EXC-005,,37.69,3150.05
2026-05-31 11:05:36,BLR-001,96.9,43.77,2542.14
2026-05-31 11:05:36,BLR-002,75.73,40.39,2726.35
2026-05-31 11:05:36,BLR-003,104.71,22.43,2684.21
2026-05-31 11:05:36,BLR-004,79.44,39.44,2983.77
2026-05-31 11:05:36,BLR-005,79.3,26.43,2684.06
2026-05-31 12:05:36,EXC-001,94.33,11.96,2915.43
2026-05-31 12:05:36,EXC-002,95.77,21.74,2874.08
2026-05-31 12:05:36,EXC-003,87.11,28.75,2727.23
2026-05-31 12:05:36,EXC-004,70.67,33.17,2768.11
2026-05-31 12:05:36,EXC-005,,41.97,3183.35
2026-05-31 12:05:36,BLR-001,,32.8,2633.08
2026-05-31 12:05:36,BLR-002,85.74,34.85,2863.58
2026-05-31 12:05:36,BLR-003,90.95,18.02,3069.98
2026-05-31 12:05:36,BLR-004,73.73,36.58,2878.02
2026-05-31 12:05:36,BLR-005,90.3,40.81,3100.02
2026-05-31 13:05:36,EXC-001,100.1,18.82,2545.38
2026-05-31 13:05:36,EXC-002,96.99,14.15,2856.61
2026-05-31 13:05:36,EXC-003,74.06,43.97,3047.5
2026-05-31 13:05:36,EXC-004,84.27,14.3,2993.82
2026-05-31 13:05:36,EXC-005,80.84,36.31,2776.71
2026-05-31 13:05:36,BLR-001,86.63,38.19,3043.49
2026-05-31 13:05:36,BLR-002,75.42,20.56,2850.48
2026-05-31 13:05:36,BLR-003,84.94,32.39,2964.11
2026-05-31 13:05:36,BLR-004,76.46,34.74,2502.57
2026-05-31 13:05:36,BLR-005,85.68,40.12,2872.67
2026-05-31 14:05:36,EXC-001,95.2,37.0,2805.24
2026-05-31 14:05:36,EXC-002,100.0,37.0,2808.51
2026-05-31 14:05:36,EXC-003,104.95,14.39,2504.14
2026-05-31 14:05:36,EXC-004,75.78,35.1,2937.0
2026-05-31 14:05:36,EXC-005,94.15,11.83,2740.43
2026-05-31 14:05:36,BLR-001,90.91,12.59,2583.35
2026-05-31 14:05:36,BLR-002,79.82,31.6,2960.72
2026-05-31 14:05:36,BLR-003,89.48,39.6,2670.55
2026-05-31 14:05:36,BLR-004,,32.26,2590.33
2026-05-31 14:05:36,BLR-005,79.46,33.92,4803.820933140496
2026-05-31 15:05:36,EXC-001,98.89,40.78,3089.13
2026-05-31 15:05:36,EXC-002,81.38,27.42,2802.49
2026-05-31 15:05:36,EXC-003,91.91,32.19,2566.73
2026-05-31 15:05:36,EXC-004,80.86,24.74,2944.22
2026-05-31 15:05:36,EXC-005,100.02,20.51,2677.87
2026-05-31 15:05:36,BLR-001,84.68,33.07,2964.86
2026-05-31 15:05:36,BLR-002,94.43,27.23,2750.76
2026-05-31 15:05:36,BLR-003,79.11,39.63,2711.03
2026-05-31 15:05:36,BLR-004,74.77,39.32,3120.66
2026-05-31 15:05:36,BLR-005,71.98,36.6,3137.21
2026-05-31 16:05:36,EXC-001,78.27,34.81,2952.86
2026-05-31 16:05:36,EXC-002,75.41,43.44,2543.6
2026-05-31 16:05:36,EXC-003,77.42,10.47,2727.74
2026-05-31 16:05:36,EXC-004,85.07,44.54,2766.54
2026-05-31 16:05:36,EXC-005,98.0,40.48,4897.318504318251
2026-05-31 16:05:36,BLR-001,98.71,37.73,2673.16
2026-05-31 16:05:36,BLR-002,104.44,39.98,2555.61
2026-05-31 16:05:36,BLR-003,83.99,22.15,2785.09
2026-05-31 16:05:36,BLR-004,72.24,39.72,2743.07
2026-05-31 16:05:36,BLR-005,96.32,19.1,3003.37
2026-05-31 17:05:36,EXC-001,74.5,25.62,2865.47
2026-05-31 17:05:36,EXC-002,84.35,34.84,2952.23
2026-05-31 17:05:36,EXC-003,90.29,36.94,2794.12
2026-05-31 17:05:36,EXC-004,,35.41,2513.78
2026-05-31 17:05:36,EXC-005,95.19,41.15,2617.31
2026-05-31 17:05:36,BLR-001,101.64,31.65,2741.72
2026-05-31 17:05:36,BLR-002,80.28,20.06,2767.92
2026-05-31 17:05:36,BLR-003,102.41,14.98,2788.58
2026-05-31 17:05:36,BLR-004,79.31,22.22,3195.11
2026-05-31 17:05:36,BLR-005,93.29,34.36,2682.42
2026-05-31 18:05:36,EXC-001,95.69,19.83,3188.41
2026-05-31 18:05:36,EXC-002,,40.4,2830.63
2026-05-31 18:05:36,EXC-003,99.69,35.97,3019.99
2026-05-31 18:05:36,EXC-004,71.42,31.58,2796.58
2026-05-31 18:05:36,EXC-005,79.34,30.36,2642.35
2026-05-31 18:05:36,BLR-001,97.16,38.75,4607.366096106996
2026-05-31 18:05:36,BLR-002,74.55,21.64,2905.15
2026-05-31 18:05:36,BLR-003,71.87,13.4,3111.36
2026-05-31 18:05:36,BLR-004,90.34,26.46,2991.09
2026-05-31 18:05:36,BLR-005,95.28,38.68,3175.43
2026-05-31 19:05:36,EXC-001,97.14,22.86,2702.7
2026-05-31 19:05:36,EXC-002,70.89,31.86,3076.93
2026-05-31 19:05:36,EXC-003,,27.69,2636.0
2026-05-31 19:05:36,EXC-004,98.57,35.9,2965.83
2026-05-31 19:05:36,EXC-005,86.08,42.33,3048.65
2026-05-31 19:05:36,BLR-001,97.06,26.35,2827.25
2026-05-31 19:05:36,BLR-002,77.69,33.36,3060.43
2026-05-31 19:05:36,BLR-003,78.71,40.56,2549.7
2026-05-31 19:05:36,BLR-004,76.59,39.05,3022.03
2026-05-31 19:05:36,BLR-005,102.61,41.04,2606.32
2026-05-31 20:05:36,EXC-001,87.95,28.29,3191.24
2026-05-31 20:05:36,EXC-002,97.62,42.8,3157.92
2026-05-31 20:05:36,EXC-003,84.79,15.22,2904.92
2026-05-31 20:05:36,EXC-004,82.34,20.05,2697.42
2026-05-31 20:05:36,EXC-005,86.24,13.85,2853.8
2026-05-31 20:05:36,BLR-001,81.14,29.71,3197.8
2026-05-31 20:05:36,BLR-002,99.15,20.41,2922.84
2026-05-31 20:05:36,BLR-003,100.14,34.52,2966.3
2026-05-31 20:05:36,BLR-004,97.73,39.09,2683.75
2026-05-31 20:05:36,BLR-005,104.79,14.36,2846.87
2026-05-31 21:05:36,EXC-001,84.89,42.81,3032.71
2026-05-31 21:05:36,EXC-002,78.71,16.73,2783.08
2026-05-31 21:05:36,EXC-003,83.74,28.03,2724.03
2026-05-31 21:05:36,EXC-004,71.42,41.96,2997.06
2026-05-31 21:05:36,EXC-005,87.95,20.82,2993.72
2026-05-31 21:05:36,BLR-001,89.36,27.11,3093.37
2026-05-31 21:05:36,BLR-002,89.14,37.15,3040.15
2026-05-31 21:05:36,BLR-003,89.1,26.74,2952.76
2026-05-31 21:05:36,BLR-004,76.58,14.65,3190.31
2026-05-31 21:05:36,BLR-005,95.79,42.26,2807.33
2026-05-31 22:05:36,EXC-001,88.47,39.1,2896.49
2026-05-31 22:05:36,EXC-002,103.03,15.51,2843.81
2026-05-31 22:05:36,EXC-003,98.44,12.76,2871.66
2026-05-31 22:05:36,EXC-004,92.89,18.47,2876.47
2026-05-31 22:05:36,EXC-005,102.35,42.35,2501.09
2026-05-31 22:05:36,BLR-001,91.14,16.95,2624.74
2026-05-31 22:05:36,BLR-002,92.76,24.81,2530.3
2026-05-31 22:05:36,BLR-003,103.92,11.1,2665.22
2026-05-31 22:05:36,BLR-004,71.38,40.22,3140.16
2026-05-31 22:05:36,BLR-005,96.49,10.99,2886.22
2026-05-31 23:05:36,EXC-001,99.99,27.03,3190.17
2026-05-31 23:05:36,EXC-002,101.29,25.88,2811.99
2026-05-31 23:05:36,EXC-003,83.0,33.24,2728.6
2026-05-31 23:05:36,EXC-004,89.13,41.06,2966.67
2026-05-31 23:05:36,EXC-005,95.88,32.53,2794.9
2026-05-31 23:05:36,BLR-001,70.69,37.48,2520.41
2026-05-31 23:05:36,BLR-002,103.12,31.64,3187.74
2026-05-31 23:05:36,BLR-003,96.67,23.43,2591.45
2026-05-31 23:05:36,BLR-004,92.81,38.17,2880.06
2026-05-31 23:05:36,BLR-005,102.93,36.04,2525.35
2026-06-01 00:05:36,EXC-001,76.9,25.06,2713.53
2026-06-01 00:05:36,EXC-002,103.06,15.0,2956.63
2026-06-01 00:05:36,EXC-003,95.67,12.91,2855.45
2026-06-01 00:05:36,EXC-004,91.55,18.99,2738.33
2026-06-01 00:05:36,EXC-005,88.29,28.13,2651.73
2026-06-01 00:05:36,BLR-001,78.21,17.95,2721.06
2026-06-01 00:05:36,BLR-002,74.44,18.74,2777.42
2026-06-01 00:05:36,BLR-003,78.69,29.98,2740.07
2026-06-01 00:05:36,BLR-004,87.63,13.55,3058.77
2026-06-01 00:05:36,BLR-005,87.19,37.41,2726.56
2026-06-01 01:05:36,EXC-001,85.32,43.31,2757.96
2026-06-01 01:05:36,EXC-002,89.05,11.85,3168.85
2026-06-01 01:05:36,EXC-003,94.9,30.36,2685.72
2026-06-01 01:05:36,EXC-004,75.06,38.82,2574.72
2026-06-01 01:05:36,EXC-005,95.29,29.17,3148.13
2026-06-01 01:05:36,BLR-001,90.06,11.34,2542.19
2026-06-01 01:05:36,BLR-002,90.85,33.1,2948.89
2026-06-01 01:05:36,BLR-003,103.21,36.78,2824.22
2026-06-01 01:05:36,BLR-004,76.92,16.38,2541.13
2026-06-01 01:05:36,BLR-005,98.78,13.88,2811.03
2026-06-01 02:05:36,EXC-001,80.64,44.15,2546.95
2026-06-01 02:05:36,EXC-002,80.49,37.35,2853.63
2026-06-01 02:05:36,EXC-003,78.31,18.33,2590.64
2026-06-01 02:05:36,EXC-004,83.17,14.08,2607.46
2026-06-01 02:05:36,EXC-005,96.56,33.26,2962.16
2026-06-01 02:05:36,BLR-001,98.91,28.71,2531.28
2026-06-01 02:05:36,BLR-002,73.58,39.49,2542.82
2026-06-01 02:05:36,BLR-003,70.3,27.13,2931.66
2026-06-01 02:05:36,BLR-004,97.42,38.63,3189.36
2026-06-01 02:05:36,BLR-005,78.23,17.39,2563.93
2026-06-01 03:05:36,EXC-001,83.91,33.55,2719.71
2026-06-01 03:05:36,EXC-002,74.82,29.36,2502.27
2026-06-01 03:05:36,EXC-003,90.78,27.11,2810.53
2026-06-01 03:05:36,EXC-004,99.77,36.31,2980.65
2026-06-01 03:05:36,EXC-005,102.93,20.56,4144.568948708387
2026-06-01 03:05:36,BLR-001,79.74,20.22,2626.18
2026-06-01 03:05:36,BLR-002,74.26,20.18,3170.41
2026-06-01 03:05:36,BLR-003,72.92,41.37,3125.68
2026-06-01 03:05:36,BLR-004,88.65,15.13,2947.62
2026-06-01 03:05:36,BLR-005,99.65,44.67,2640.14
2026-06-01 04:05:36,EXC-001,104.69,24.93,2928.38
2026-06-01 04:05:36,EXC-002,98.01,16.84,2833.53
2026-06-01 04:05:36,EXC-003,88.9,43.25,2954.16
2026-06-01 04:05:36,EXC-004,93.15,22.55,2886.89
2026-06-01 04:05:36,EXC-005,85.64,14.75,2557.76
2026-06-01 04:05:36,BLR-001,,30.39,2581.06
2026-06-01 04:05:36,BLR-002,104.57,34.21,2960.49
2026-06-01 04:05:36,BLR-003,102.84,22.38,3094.5
2026-06-01 04:05:36,BLR-004,95.57,12.65,2857.33
2026-06-01 04:05:36,BLR-005,90.65,35.9,2921.45
2026-06-01 05:05:36,EXC-001,70.22,41.33,2609.27
2026-06-01 05:05:36,EXC-002,101.0,36.99,2526.96
2026-06-01 05:05:36,EXC-003,79.05,29.81,3088.77
2026-06-01 05:05:36,EXC-004,87.94,17.77,2720.97
2026-06-01 05:05:36,EXC-005,70.44,17.86,2813.41
2026-06-01 05:05:36,BLR-001,,15.46,2581.1
2026-06-01 05:05:36,BLR-002,77.23,23.04,2688.27
2026-06-01 05:05:36,BLR-003,76.58,29.48,3020.62
2026-06-01 05:05:36,BLR-004,80.02,21.72,2730.97
2026-06-01 05:05:36,BLR-005,100.24,42.53,2758.05
2026-06-01 06:05:36,EXC-001,81.6,33.6,2552.58
2026-06-01 06:05:36,EXC-002,82.57,26.73,2814.05
2026-06-01 06:05:36,EXC-003,102.62,12.55,2535.26
2026-06-01 06:05:36,EXC-004,81.51,17.06,3136.41
2026-06-01 06:05:36,EXC-005,92.28,21.05,2894.39
2026-06-01 06:05:36,BLR-001,91.71,20.06,2623.4
2026-06-01 06:05:36,BLR-002,95.39,41.54,2597.47
2026-06-01 06:05:36,BLR-003,79.69,36.71,2600.76
2026-06-01 06:05:36,BLR-004,78.91,43.76,2512.47
2026-06-01 06:05:36,BLR-005,100.61,17.49,2759.12
2026-06-01 07:05:36,EXC-001,75.84,28.02,3131.82
2026-06-01 07:05:36,EXC-002,81.29,36.52,2677.58
2026-06-01 07:05:36,EXC-003,103.53,18.92,3060.36
2026-06-01 07:05:36,EXC-004,75.69,32.66,2552.72
2026-06-01 07:05:36,EXC-005,81.52,44.94,3156.43
2026-06-01 07:05:36,BLR-001,82.69,19.38,2974.57
2026-06-01 07:05:36,BLR-002,101.58,33.13,3140.89
2026-06-01 07:05:36,BLR-003,93.45,34.97,3106.44
2026-06-01 07:05:36,BLR-004,,27.27,2526.54
2026-06-01 07:05:36,BLR-005,98.86,27.83,3009.23
2026-06-01 08:05:36,EXC-001,87.67,11.17,3066.44
2026-06-01 08:05:36,EXC-002,,35.92,2931.26
2026-06-01 08:05:36,EXC-003,77.25,16.81,2606.16
2026-06-01 08:05:36,EXC-004,92.59,42.9,2919.17
2026-06-01 08:05:36,EXC-005,76.59,41.01,2615.3
2026-06-01 08:05:36,BLR-001,102.69,43.71,3050.44
2026-06-01 08:05:36,BLR-002,101.62,31.25,2504.95
2026-06-01 08:05:36,BLR-003,74.06,35.02,2548.94
2026-06-01 08:05:36,BLR-004,84.33,26.31,2714.67
2026-06-01 08:05:36,BLR-005,98.23,27.07,3187.61
2026-06-01 09:05:36,EXC-001,75.85,11.24,3173.07
2026-06-01 09:05:36,EXC-002,102.44,34.14,2917.59
2026-06-01 09:05:36,EXC-003,72.35,36.36,2609.48
2026-06-01 09:05:36,EXC-004,80.56,19.53,3112.55
2026-06-01 09:05:36,EXC-005,88.45,29.57,2999.33
2026-06-01 09:05:36,BLR-001,97.38,23.81,2699.54
2026-06-01 09:05:36,BLR-002,71.04,10.8,2533.01
2026-06-01 09:05:36,BLR-003,93.14,29.04,2803.96
2026-06-01 09:05:36,BLR-004,94.38,34.45,2964.32
2026-06-01 09:05:36,BLR-005,80.85,39.24,3034.28
2026-06-01 10:05:36,EXC-001,72.7,24.43,3058.42
2026-06-01 10:05:36,EXC-002,102.91,23.3,2515.76
2026-06-01 10:05:36,EXC-003,100.59,38.75,2711.97
2026-06-01 10:05:36,EXC-004,91.4,28.04,2693.59
2026-06-01 10:05:36,EXC-005,101.78,17.93,2633.93
2026-06-01 10:05:36,BLR-001,97.82,30.0,2655.42
2026-06-01 10:05:36,BLR-002,74.35,14.15,2536.35
2026-06-01 10:05:36,BLR-003,93.67,15.62,2937.84
2026-06-01 10:05:36,BLR-004,101.39,42.41,2526.05
2026-06-01 10:05:36,BLR-005,83.77,27.65,3163.27
2026-06-01 11:05:36,EXC-001,70.62,29.79,2872.29
2026-06-01 11:05:36,EXC-002,103.44,17.89,2755.92
2026-06-01 11:05:36,EXC-003,70.89,36.18,2691.57
2026-06-01 11:05:36,EXC-004,101.97,11.43,2618.58
2026-06-01 11:05:36,EXC-005,98.67,18.92,2552.52
2026-06-01 11:05:36,BLR-001,90.58,31.18,2797.39
2026-06-01 11:05:36,BLR-002,86.49,31.43,2928.33
